ID,question,tags
1,What is one book you wish you had read but you don’t actually want to read?,
2,Where is the most uncomfortable place you have ever slept?,
3,"If you were in charge renaming things so that their names would be more accurate, what names would you come up with?",
4,How much of an accent do you think you have? Are you proud of it or do you wish you could lose it for a more neutral accent?,
5,What’s the best gift you’ve ever received?,
6,How well do you take criticism?,
7,Have you experienced falling down the stairs?,
8,"What is something you got really upset about, but looking back realize it was no big deal?",
9,What do you wish you had invented?,
10,How many concerts have you gone to?,
11,What awful movie do you love?,
12,Is there someone you really hate?,
13,"If your job gave you a surprise three day paid break to rest and recuperate, what would you do with those three days?",
14,What’s your favorite way to spend a rainy day?,
15,What did you believe for way too long as a child?,
16,What critically panned movie do you love?,
17,What sport would you want to play professionally?,
18,What’s the most historic thing that has happened in your lifetime?,
19,What would be the best thing you could reasonably expect to find in a cave?,
20,How would your closest friends describe you in three words?,
21,"If magic was real, what spell would you try to learn first?",
22,When was the last time you screwed anything up and no one ever noticed?,
23,What is the best way to start the day?,
24,What movie quotes do you use on a regular basis?,
25,What part of the house do you hate to clean the most?,
26,What’s the most expensive thing you’ve broken?,
27,What do you never leave home without?,
28,What fruit would you be if you were a fruit?,
29,Were you born for challenges?,
30,"If you could ask one person one question and they would answer honestly, what would you ask and who would you ask?",
31,Does my face look funny to you?,
32,What is the dumbest expression everyone seems to be using these days?,
33,What’s your favorite TV show currently on air?,
34,What is the one word you use too much?,
35,What was the darkest movie you’ve ever seen?,
36,What’s the first thing you pack during an out of the country flight?,
37,What’s your favorite place to visit?,
38,What’s the worst backhanded compliment you could give someone?,
39,What is one question you’re dying to know the answer to?,
40,How would you describe your greatest enemy?,
41,Where is your all-time dream vacation?,
42,Where is your favorite place to take a walk?,
43,What do you prioritize more: relationship or career?,
44,Which language do you wish you spoke fluently?,
45,Are you smart enough to solve 100 addition problems in 100 minutes?,
46,What song do you know by heart?,
47,What gets you motivated?,
48,What’s the most dangerous thing you’ve ever done?,
49,What is one thing that is absolutely unforgivable?,
50,Do you like movie theater popcorn with butter or without?,
51,Do you believe everything happens for a reason?,
52,What would you serve if you were to make a special dinner for the family?,
53,What is the most annoying thing people say to you a lot?,
54,What just around the corner tech are you eager to get your hands on?,
55,What job doesn’t exist now but will exist in the future?,
56,What’s the last thing on your bucket list?,
57,What do you need help with most often?,
58,What would you do if you were offered a one-minute ad slot during the Super Bowl that you couldn't sell?,
59,What innocent food do you despise?,
60,What is the bravest thing you’ve ever done?,
61,What song do you always have to sing along to?,
62,"If you were given the chance to make your one wish come true, what would it be?",
63,What is something that unnerves you but the majority people don’t seem to be bothered by?,
64,Would you rather have intelligence over looks?,
65,"When you fidget, what do you do?",
66,What’s one thing you can’t live without?,
67,What flower would you prefer if you awoke as a flower one day?,
68,What food have you never eaten but would really like to try?,
69,What’s your favorite hobby?,
70,What was the most disappointing meal you’ve ever had?,
71,What are some clever examples of misdirection you’ve seen?,
72,"What’s your best example of easy come, easy go?",
73,What is the strangest sport you’ve heard of?,
74,"When you see a homeless person, what is your first thought?",
75,What’s the silliest thing you’ve convinced someone of?,
76,Are you a collector of something?,
77,What’s the funniest thing you’ve done or had happen while your mind was wandering?,
78,What’s the most amazing true story you’ve heard?,
79,What is love?,
80,What is your favorite social media platform?,
81,What was your favorite childhood book?,
82,What’s your favorite part of your job?,
83,What makes you happy?,
84,Have you ever or would you ever dye your hair a wild color?,
85,"If money wasn’t an issue, what would you do for a living?",
86,What is your best “for the grandkids” story?,
87,What is your favorite word?,
88,What smartphone feature would you actually be excited for a company to implement?,
89,Which of the continents have you already been to?,
90,How do you feel about snakes and spiders?,
91,What game have you spent the most hours playing?,
92,What languages do you wish you could speak?,
93,What do you usually follow when making decisions: your head or your heart?,
94,What noise annoys you the most?,
95,What lifestyle change do you really want to make?,
96,"If you could talk to animals and they would understand you, but you couldn’t understand them, what would you do with that power?",
97,What do you think the people in charge at your job or school could be doing better?,
98,What’s a common experience for many people that you’ve never experienced?,
99,Do you like dipping your Oreo in milk?,
100,Do you have any “that would only happen in the movies” moments?,
101,"What outdoor activity haven’t you tried, but would like to?",
102,Which celebrity deserves to lose everything they have?,
103,What has been your hardest mental challenge?,
104,Would you move to another country for love?,
105,What is one album you could listen to for the rest of your life?,
106,What type of genre would you choose if you were an author?,
107,Which member of your family were you closest to as a child?,
108,What is your go-to meme?,
109,When was the last time you slept until noon?,
110,What do you miss the most about being a kid?,
111,"If you were hired to show tourists what life is really like where you live, what would you show them / have them do?",
112,What’s the most frustrating product you own?,
113,What was the best day of your life?,
114,What is your biggest addiction right now?,
115,What period would you travel to if you were given a time machine?,
116,How much do you trust or distrust authority figures?,
117,What is the most useless talent you possess?,
118,What does your brain try to make you do and you have to resist yourself not to do it?,
119,What is a lesson you only needed to learn once?,
120,What habits of other people you definitely find disgusting?,
121,Do you care about what other people tell you?,
122,What makes you cry?,
123,Who eats the most in the family?,
124,What do you think is the best hangover cure?,
125,What would your perfect bar look like?,
126,Whats the first app you open in the morning?,
127,Where do you get most of the decorations for your home?,
128,What do you think could be done to improve the media?,
129,What naps are the most satisfying?,
130,Do you ever think it’s OK for a waiter to spit in someone’s food?,
131,What is or was your most treasured clothing item?,
132,What are the three biggest threats facing the world?,
133,What’s your perfect night out look like?,
134,What's the biggest pimple you've ever had?,
135,What is the weirdest thing you have ever eaten?,
136,Where’s your go to restaurant for amazing food?,
137,Have you ever walked out of the cinema without finishing the movie?,
138,What’s the biggest surprise you’ve ever had?,
139,What’s your favorite holiday?,
140,What are people always surprised to discover about you?,
141,What normally delicious food gets ruined when you wrap it in a tortilla?,
142,"If cartoon physics suddenly replaced real physics, what are some things you would want to try?",
143,What is illegal that should be legal?,
144,What’s your favorite toy when you were a child?,
145,When is the last time you got extremely angry?,
146,What’s your opinion on garden gnomes or pink flamingos?,
147,Was the name of your first pet?,
148,What popular movie do you have no desire to see?,
149,"If you had a HUD that showed three stats about any person you looked at, what three stats would you want it to show?",
150,What still makes you cringe when you think back on it?,
151,"If you could spend a whole year doing anything you wanted, what would you do?",
152,What is your dream vacation?,
153,How adventurous are you when it comes to food?,
154,How well do you dance? What are some of your go to moves?,
155,Who was your biggest childhood celebrity crush?,
156,What is your favorite Winter Olympics sport?,
157,Have you recently checked out one of your bucket lists?,
158,Where do you get your news?,
159,What would you do if you knew you'd be good in a different profession?,
160,Are relationships with your friends or your family more important to you?,
161,"If you were a ghost and could possess people, what would you make them do?",
162,What location would you choose if you had the power to make it disappear?,
163,"If you are drowning, who do you think would save your life?",
164,What is your go-to karaoke song?,
165,What animal would be cutest if scaled down to the size of a cat?,
166,What is one thing you can never say no to?,
167,What’s the stupidest thing you’ve ever done?,
168,What’s your favorite sandwich spread?,
169,"If you could sit next to a famous celebrity in a restaurant, who would it be?",
170,Do you believe in astrology?,
171,It’s the year 2008 – what are you doing?,
172,Do you think that aliens exist?,
173,"If you ran the world, what rule would you enact?",
174,What’s the worst thing you’ve eaten out of politeness?,
175,What made you laugh recently?,
176,What is your ideal home aesthetic if money wasn’t an issue?,
177,Who do you think is your celebrity look-a-like?,
178,What was your favorite part about being a kid?,
179,When are you at your happiest?,
180,What is the most difficult thing in your life right now?,
181,What actor would you cast to play you in a movie?,
182,Have you ever pulled out a tooth just to get money from the tooth fairy?,
183,"What’s something that everyone knows is true, but we don’t like to admit it?",
184,Do you still believe in Santa Claus?,
185,"What movie, picture, or video always makes you laugh no matter how often you watch it?",
186,Fun Questions to Ask Strangers,
187,What has been the most flattering compliment you've ever received?,
188,Who’s your biggest role model?,
189,What really needs to be modernized?,
190,What famous person is actually making the world a better place?,
191,What scene from a movie still haunts you?,
192,What has been the worst phase in your life?,
193,"If you could rename your country or state, what would you rename it and why?",
194,What’s the best thing that happened to you this year?,
195,Which apocalyptic dystopia do you think is most likely?,
196,When was the last time you felt really embarrassed?,
197,Have you ever composed a song?,
198,What do you think the next big tech thing will be?,
199,Who is your celebrity doppelgänger?,
200,Do you prefer dogs or cats or another animal perhaps?,
201,What book have you read the most times?,
202,What animal would you want to come back as in your next life?,
203,What song always gets stuck in your head?,
204,What is the greatest risk you have ever taken?,
205,Would you rather wear shoes or slippers?,
206,Do you like to exercise regularly?,
207,What is a useless topic you know a lot about?,
208,Do you think fish ever get thirsty?,
209,What has been the most severe weather you've ever experienced?,
210,What was your favorite sitcom growing up?,
211,How forgiving are you?,
212,What songs do you know every word to?,
213,"If money and practicality weren’t a problem, what would be the most interesting way to get around town?",
214,What was your reaction when you found out you were going to be parents for the first time?,
215,What would be some of the downsides of certain superpowers?,
216,What is the best way to spend a day alone?,
217,Of you could sing a duet with someone who would it be?,
218,What’s your favorite holiday movie?,
219,Have you ever thought of what your future baby will be named?,
220,What’s the best way you or someone you know has gotten out of a ticket / trouble with the law?,
221,"Which drugs, if any, do you think should be legalized and why?",
222,What is the best color in the rainbow?,
223,Would you rather travel 100 years in the past or 100 years in the future?,
224,What’s your best personality trait?,
225,Where’s the line between soup and cereal?,
226,What is the best thing going on in your life at the moment?,
227,Do you want to change the world?,
228,Where did all of our family traditions originate?,
229,Do you hate math?,
230,What is one song that always makes you dance?,
231,What’s your best example of fake it till you make it?,
232,"What was something you really wanted as a kid but now look back on and shake your head? (For me it was wanting to live in a water tower, or an inflatable giant soda can.)",
233,"For you, what does a perfect vacation look like?",
234,What is your biggest goal for this year?,
235,What would be the click-bait titles of some popular movies?,
236,What are most people surprised to learn about you?,
237,What movie did you last watch inside the cinema?,
238,What animal is the most majestic?,
239,Is there a country you’ve really been wanting to visit?,
240,What’s something commonly done that gets progressively weirder the more you think about it?,
241,Which personality trait of yours has served you the best in life?,
242,Do you believe in zodiac signs?,
243,How often did you climb trees as a child? Did you have a tree house or fort? When was the last time you climbed a tree?,
244,What “old person” things do you do?,
245,Do you collect anything?,
246,Do you prefer book or movies with happy endings or more dramatic endings and why?,
247,What sound do you hate?,
248,Who is the first person you call when anything- good or bad- happens to you?,
249,"If you built a themed hotel, what would the theme be and what would the rooms look like?",
250,"If you lived in a virtual reality world of your own creation, what would it look like?",
251,What’s the most embarrassing story from your childhood?,
252,What songs hit you with a wave of nostalgia every time you hear them?,
253,What is something you covet?,
254,What do you probably spend too much money or time on but it is totally worth it?,
255,What is the worst punishment your parents gave you?,
256,What has been the longest plane trip you've ever taken?,
257,What’s the most amazing place in nature you’ve been?,
258,Which instrument has the funniest sound?,
259,What is worth standing in line for?,
260,What made you laughed the hardest in your life?,
261,What is the most cringe-worthy thing people post on social media?,
262,What values are most important to you?,
263,What animal would you want to have as a pet if you could choose anything?,
264,What’s the most ironic thing you’ve seen happen?,
265,What’s your weirdest pet peeve?,
266,Which would be the smartest animal if they could all talk?,
267,What life skills are rarely taught but extremely useful?,
268,What is the strangest or most interesting creature you have heard of?,
269,What’s your favorite thing to do on a lazy Sunday?,
270,Do you believe in any conspiracy theories?,
271,What is the scariest insect in the world?,
272,What are the things you love the most about yourself?,
273,What type of cuisine would you serve your customers if you own a five-star restaurant?,
274,What is something that seemed like a good idea at the time?,
275,What was the worst part about being a kid?,
276,What is the worst backhanded compliment?,
277,What foreign accent can you do really well?,
278,What was your AOL screen name?,
279,"If you were a bird, what kind of bird would you be?",
280,Would you take it if you had the opportunity to be immortal?,
281,What is one thing about you people would be surprised to know?,
282,Would you rather cook or eat at a restaurant?,
283,What time do you usually sleep?,
284,"What is a popular food ingredient, spice, or herb that you dislike?",
285,What animal or plant do you think should be renamed?,
286,What is the most stupid thing you’ve done in your entire life?,
287,What is something you stressed over that was no big deal?,
288,What would be the most unsettling thing to keep occasionally finding around your house?,
289,Are you confident to face the future?,
290,What’s something you lose all the time?,
